geometry|lat|lon|name|rating|types|zona_estudio|n_types|type_0|type_1|type_2|type_3|type_4|type_5|type_6|type_7|type_8
POINT (-78.4531631 -0.1075209)|-0.1075209|-78.4531631|TÍA CARAPUNGO|4.2|['supermarket', 'convenience_store', 'grocery_or_supermarket', 'store', 'food']|LA BOTA|5|supermarket|convenience_store|grocery_or_supermarket|store|food||||
POINT (-78.4696633 -0.1122551)|-0.1122551|-78.4696633|La Tienda de La Esquina|3.7|['convenience_store', 'store', 'food']|LA BOTA|3|convenience_store|store|food||||||
POINT (-78.4497371 -0.111636)|-0.111636|-78.4497371|RONRON CAMARÓN||['convenience_store', 'store', 'food']|LA BOTA|3|convenience_store|store|food||||||
POINT (-78.4710502 -0.1177856)|-0.1177856|-78.4710502|Víveres Hellen y Keneth||['convenience_store', 'store', 'food']|LA BOTA|3|convenience_store|store|food||||||
POINT (-78.467739 -0.1244672)|-0.1244672|-78.467739|"La tienda ""Legumbria Andresito"""||['convenience_store', 'store', 'food']|LA BOTA|3|convenience_store|store|food||||||
POINT (-78.471672 -0.1207639)|-0.1207639|-78.471672|Venta de carton||['convenience_store', 'store', 'food']|LA BOTA|3|convenience_store|store|food||||||
POINT (-78.4523251 -0.1038518)|-0.1038518|-78.4523251|fcaroastchicken pollos y brasas||['convenience_store', 'store', 'food']|LA BOTA|3|convenience_store|store|food||||||
POINT (-78.4444748 -0.1149767)|-0.1149767|-78.4444748|SUPERMERCADO PATI||['convenience_store', 'store', 'food']|LA BOTA|3|convenience_store|store|food||||||
POINT (-78.46628199999999 -0.1292393)|-0.1292393|-78.46628199999999|LUVI Market|5.0|['convenience_store', 'store', 'food']|LA BOTA|3|convenience_store|store|food||||||
POINT (-78.46900099999999 -0.1276173)|-0.1276173|-78.46900099999999|M &Y Su Bodega||['convenience_store', 'store', 'food']|LA BOTA|3|convenience_store|store|food||||||
POINT (-78.45266000000001 -0.1004922)|-0.1004922|-78.45266000000001|Bodega Reina Del Cisne|3.5|['convenience_store', 'store', 'food']|LA BOTA|3|convenience_store|store|food||||||
POINT (-78.4682764 -0.1311573)|-0.1311573|-78.4682764|Comercial Hazel|5.0|['convenience_store', 'store', 'food']|LA BOTA|3|convenience_store|store|food||||||
POINT (-78.4526719 -0.0964143)|-0.0964143|-78.4526719|Víveres En General||['convenience_store', 'store', 'food']|LA BOTA|3|convenience_store|store|food||||||
POINT (-78.45746620000001 -0.1362628)|-0.1362628|-78.45746620000001|La pata peluda||['convenience_store', 'store', 'food']|LA BOTA|3|convenience_store|store|food||||||
POINT (-78.437811 -0.1146617)|-0.1146617|-78.437811|COSITAS 50ZO||['convenience_store', 'store', 'food']|LA BOTA|3|convenience_store|store|food||||||
POINT (-78.4501939 -0.0963516)|-0.0963516|-78.4501939|Art Studio Dental|5.0|['dentist', 'health']|LA BOTA|2|dentist|health|||||||
POINT (-78.454796 -0.1090505)|-0.1090505|-78.454796|Sonriecuador Carapungo||['dentist', 'doctor', 'health']|LA BOTA|3|dentist|doctor|health||||||
POINT (-78.4657069 -0.1212689)|-0.1212689|-78.4657069|Consultorio De Especialidades Clinico Quirurgicas||['dentist', 'health']|LA BOTA|2|dentist|health|||||||
POINT (-78.4673031 -0.1200487)|-0.1200487|-78.4673031|Magic Dental Quito|5.0|['dentist', 'health']|LA BOTA|2|dentist|health|||||||
POINT (-78.4665632 -0.1218489)|-0.1218489|-78.4665632|Consultorio Dental||['dentist', 'health']|LA BOTA|2|dentist|health|||||||
POINT (-78.46762389999999 -0.1211991)|-0.1211991|-78.46762389999999|Dr. Carlos Saavedra - Odontología Quito||['dentist', 'health']|LA BOTA|2|dentist|health|||||||
POINT (-78.4665739 -0.1227267)|-0.1227267|-78.4665739|Odonto Stetic||['dentist', 'health']|LA BOTA|2|dentist|health|||||||
POINT (-78.46658710000001 -0.1227485)|-0.1227485|-78.46658710000001|NOGALES VEGA Centro Odontológico||['dentist', 'health']|LA BOTA|2|dentist|health|||||||
POINT (-78.4496807 -0.1139858)|-0.1139858|-78.4496807|New Smile - Quito||['dentist', 'health']|LA BOTA|2|dentist|health|||||||
POINT (-78.4684706 -0.1222788)|-0.1222788|-78.4684706|Consultorio Dental y Laboratorio||['dentist', 'health']|LA BOTA|2|dentist|health|||||||
POINT (-78.4690741 -0.1233801)|-0.1233801|-78.4690741|Prodent Leon||['dentist', 'health']|LA BOTA|2|dentist|health|||||||
POINT (-78.4656096 -0.1263169)|-0.1263169|-78.4656096|Consultorio Dental Vida||['dentist', 'doctor', 'health']|LA BOTA|3|dentist|doctor|health||||||
POINT (-78.46480869999999 -0.1269178)|-0.1269178|-78.46480869999999|Perfect Smile||['dentist', 'health']|LA BOTA|2|dentist|health|||||||
POINT (-78.4651165 -0.1270142)|-0.1270142|-78.4651165|Consultorio Dental|1.0|['dentist', 'health']|LA BOTA|2|dentist|health|||||||
POINT (-78.4717735 -0.1218194)|-0.1218194|-78.4717735|AC DentalStudio||['dentist', 'health']|LA BOTA|2|dentist|health|||||||
POINT (-78.4638591 -0.1289095)|-0.1289095|-78.4638591|Centro Odontológico Health Dent|5.0|['dentist', 'health']|LA BOTA|2|dentist|health|||||||
POINT (-78.4514624 -0.1029854)|-0.1029854|-78.4514624|"Odontosalud Clínica Odontológica | Carapungo"|5.0|['dentist', 'health']|LA BOTA|2|dentist|health|||||||
POINT (-78.4515873 -0.1025767)|-0.1025767|-78.4515873|INSUDENTplus|5.0|['dentist', 'health']|LA BOTA|2|dentist|health|||||||
POINT (-78.4704314 -0.1264706)|-0.1264706|-78.4704314|Consultorio Dentópolis|5.0|['dentist', 'health']|LA BOTA|2|dentist|health|||||||
POINT (-78.45157499999999 -0.1022812)|-0.1022812|-78.45157499999999|Centro Médico Odontológico Santa Teresita|4.7|['dentist', 'hospital', 'doctor', 'health']|LA BOTA|4|dentist|hospital|doctor|health|||||
POINT (-78.4498206 -0.0960579)|-0.0960579|-78.4498206|DENTAL PLANNER||['doctor', 'health']|LA BOTA|2|doctor|health|||||||
POINT (-78.46517329999999 -0.118397)|-0.118397|-78.46517329999999|Dr Aguinaga Jaime||['doctor', 'health']|LA BOTA|2|doctor|health|||||||
POINT (-78.458142 -0.1082794)|-0.1082794|-78.458142|Doctor Pie Portal Shopping|5.0|['doctor', 'health']|LA BOTA|2|doctor|health|||||||
POINT (-78.4583431 -0.1081432)|-0.1081432|-78.4583431|Jessenia Wong||['doctor', 'health']|LA BOTA|2|doctor|health|||||||
POINT (-78.45777249999999 -0.1081631)|-0.1081631|-78.45777249999999|Sana Pie Portal|3.4|['doctor', 'health']|LA BOTA|2|doctor|health|||||||
POINT (-78.454796 -0.1090505)|-0.1090505|-78.454796|Sonriecuador Carapungo||['dentist', 'doctor', 'health']|LA BOTA|3|dentist|doctor|health||||||
POINT (-78.45856289999999 -0.1072879)|-0.1072879|-78.45856289999999|Redux Clinica - El Portal Shopping|5.0|['spa', 'hospital', 'doctor', 'health']|LA BOTA|4|spa|hospital|doctor|health|||||
POINT (-78.4677221 -0.121186)|-0.121186|-78.4677221|Servicios medicos Unilab|5.0|['hospital', 'doctor', 'health']|LA BOTA|3|hospital|doctor|health||||||
POINT (-78.449598 -0.1138311)|-0.1138311|-78.449598|"Dr. Luis Noboa | Centro Médico"|5.0|['doctor', 'health']|LA BOTA|2|doctor|health|||||||
POINT (-78.4560624 -0.105791)|-0.105791|-78.4560624|Clínica Dental Dentree||['doctor', 'health']|LA BOTA|2|doctor|health|||||||
POINT (-78.45601979999999 -0.1056864)|-0.1056864|-78.45601979999999|Consultorio médico Doctor Batallas||['doctor', 'health']|LA BOTA|2|doctor|health|||||||
POINT (-78.4494903 -0.11138)|-0.11138|-78.4494903|DIALIZADORA CENER||['doctor', 'health']|LA BOTA|2|doctor|health|||||||
POINT (-78.4494335 -0.1113175)|-0.1113175|-78.4494335|CENTRO DE DIALISIS||['doctor', 'health']|LA BOTA|2|doctor|health|||||||
POINT (-78.4673925 -0.1242018)|-0.1242018|-78.4673925|Centro Clínico del Dolor||['doctor', 'health']|LA BOTA|2|doctor|health|||||||
POINT (-78.4674323 -0.1242449)|-0.1242449|-78.4674323|CONSULTORIOS MÉDICOS|4.0|['doctor', 'health']|LA BOTA|2|doctor|health|||||||
POINT (-78.4536189 -0.1055043)|-0.1055043|-78.4536189|Atención de enfermería||['doctor', 'health']|LA BOTA|2|doctor|health|||||||
POINT (-78.4682866 -0.1240511)|-0.1240511|-78.4682866|Ecografias||['doctor', 'health']|LA BOTA|2|doctor|health|||||||
POINT (-78.4656096 -0.1263169)|-0.1263169|-78.4656096|Consultorio Dental Vida||['dentist', 'doctor', 'health']|LA BOTA|3|dentist|doctor|health||||||
POINT (-78.4677988 -0.1250696)|-0.1250696|-78.4677988|Dental Salud|5.0|['doctor', 'health']|LA BOTA|2|doctor|health|||||||
POINT (-78.4679996 -0.1254538)|-0.1254538|-78.4679996|Provisión Óptica|5.0|['doctor', 'health']|LA BOTA|2|doctor|health|||||||
POINT (-78.4578022 -0.1080701)|-0.1080701|-78.4578022|SAT Electrónica y Telecomunicaciones|5.0|['electrician']|LA BOTA|1|electrician||||||||
