geometry|lat|lon|name|rating|type|zona_estudio|category|sub_cat
POINT (-78.507408 -0.2212182)|-0.2212182|-78.507408|Bandido Brewing|4.7|bar|TOCTIUCO|local_economy|entertainment
POINT (-78.5037658 -0.2098651)|-0.2098651|-78.5037658|el fogon parrilladas|4.3|restaurant|TOCTIUCO|local_economy|food and drinks
POINT (-78.5127328 -0.2190937)|-0.2190937|-78.5127328|Caravana Fast Food|4.0|restaurant|TOCTIUCO|local_economy|food and drinks
POINT (-78.5056934 -0.2194542)|-0.2194542|-78.5056934|ANTOJITOS||restaurant|TOCTIUCO|local_economy|food and drinks
POINT (-78.5232816 -0.2113386)|-0.2113386|-78.5232816|FRANQUICIA CN FRUTELEG GROUP|4.5|bar|TOCTIUCO|local_economy|entertainment
POINT (-78.52220489999999 -0.209894)|-0.209894|-78.52220489999999|Las MENESTRAS de Don K-po|4.9|restaurant|TOCTIUCO|local_economy|food and drinks
POINT (-78.51309909999999 -0.2209803)|-0.2209803|-78.51309909999999|Cafetería 7 cruces|4.0|atm|TOCTIUCO|local_economy|finance
POINT (-78.5045574 -0.2157768)|-0.2157768|-78.5045574|Cajero Banco del Pacifico|2.6|atm|TOCTIUCO|local_economy|finance
POINT (-78.51567610000001 -0.2161288)|-0.2161288|-78.51567610000001|ATM Banco Central Ecuador||atm|TOCTIUCO|local_economy|finance
POINT (-78.5154619 -0.2161003)|-0.2161003|-78.5154619|Cajero Banco Pichincha||atm|TOCTIUCO|local_economy|finance
POINT (-78.51473469999999 -0.2161656)|-0.2161656|-78.51473469999999|Cajero Del Banco De Guayaquil||atm|TOCTIUCO|local_economy|finance
POINT (-78.514971 -0.2170461)|-0.2170461|-78.514971|Cajero Banco Internacional|4.5|atm|TOCTIUCO|local_economy|finance
POINT (-78.51602 -0.2185353)|-0.2185353|-78.51602|JEP|1.0|atm|TOCTIUCO|local_economy|finance
POINT (-78.5156061 -0.2182628)|-0.2182628|-78.5156061|Cajeros JEP depósitos y retiros||atm|TOCTIUCO|local_economy|finance
POINT (-78.51451469999999 -0.2172121)|-0.2172121|-78.51451469999999|Cajero Banco De Guayaquil||atm|TOCTIUCO|local_economy|finance
POINT (-78.5151817 -0.2183159)|-0.2183159|-78.5151817|Banco Del Pichincha||atm|TOCTIUCO|local_economy|finance
POINT (-78.51270219999999 -0.2186273)|-0.2186273|-78.51270219999999|Banco Guayaquil|5.0|atm|TOCTIUCO|local_economy|finance
POINT (-78.51181299999999 -0.219139)|-0.219139|-78.51181299999999|Banco Solidario|5.0|bank|TOCTIUCO|local_economy|finance
POINT (-78.5114758 -0.2187462999999999)|-0.2187462999999999|-78.5114758|Cajero La 29 De Octubre||atm|TOCTIUCO|local_economy|finance
POINT (-78.51151949999999 -0.2188165000000001)|-0.2188165000000001|-78.51151949999999|Cajero Banco Guayaquil|3.3|atm|TOCTIUCO|local_economy|finance
POINT (-78.5139897 -0.2224217)|-0.2224217|-78.5139897|Nexo||atm|TOCTIUCO|local_economy|finance
POINT (-78.5107446 -0.219263)|-0.219263|-78.5107446|Bank tellers Produbanco|1.9|atm|TOCTIUCO|local_economy|finance
POINT (-78.5109039 -0.2208308)|-0.2208308|-78.5109039|Banco Bolivariano ATM|1.0|atm|TOCTIUCO|local_economy|finance
POINT (-78.51291549999999 -0.2231374)|-0.2231374|-78.51291549999999|ATM|4.0|atm|TOCTIUCO|local_economy|finance
POINT (-78.51291359999999 -0.2231492)|-0.2231492|-78.51291359999999|Banco Internacional||atm|TOCTIUCO|local_economy|finance
POINT (-78.50916099999999 -0.2187909)|-0.2187909|-78.50916099999999|Banco Pichincha|3.5|bank|TOCTIUCO|local_economy|finance
POINT (-78.5109524 -0.220202)|-0.220202|-78.5109524|Banco del Pacífico|4.1|bank|TOCTIUCO|local_economy|finance
POINT (-78.5046318 -0.2158019)|-0.2158019|-78.5046318|Banco Central del Ecuador|4.4|bank|TOCTIUCO|local_economy|finance
POINT (-78.519735 -0.2223075)|-0.2223075|-78.519735|Kontay|3.0|bank|TOCTIUCO|local_economy|finance
POINT (-78.5116579 -0.2187839)|-0.2187839|-78.5116579|Mutualista Pichincha|4.6|bank|TOCTIUCO|local_economy|finance
